species	Phylum	Class	Order	Family	Genus
Acinetobacter sp. ANC 3813	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 3832	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4648	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4558	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 5054	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4655	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4169	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4218	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4470	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4999	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 3903	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ANC 4204	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Propionibacterium sp.	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium
Limnohabitans sp. JirII-31	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
Limnohabitans sp. Jir72	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
Limnohabitans sp. Bal53	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
Limnohabitans sp. 2KL-51	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans
Henriciella pelagia	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Henriciella
Saccharibacillus sp. O16	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Saccharibacillus
Beijerinckiaceae bacterium	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	
Caulobacteraceae bacterium	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	
Acidobacteria bacterium	Acidobacteria				
Tolumonas sp.	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas
Petrimonas sp. IBARAKI	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Petrimonas
Bacillus sp. EAC	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Chromatiaceae bacterium 2141T.STBD.0c.01a	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	
Bacillus sp. KbaL1	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Leifsonia sp. NCR5	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia
Microbacterium sp. LEMMJ01	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
Pseudomonas sp. AK6U	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Lysinibacillus endophyticus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lysinibacillus
Chryseobacterium sp. JC507	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium
Salinicola sp.	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola
Sphingomonadales bacterium	Proteobacteria	Alphaproteobacteria	Sphingomonadales		
Aquidulcibacter paucihalophilus	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Aquidulcibacter
Cryobacterium sp. LW097	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium
Proteobacteria bacterium ST_bin11	Proteobacteria				
Proteobacteria bacterium ST_bin12	Proteobacteria				
Proteobacteria bacterium ST_bin13	Proteobacteria				
Proteobacteria bacterium ST_bin14	Proteobacteria				
Proteobacteria bacterium ST_bin15	Proteobacteria				
Nitrospira sp. ST-bin4	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Nitrospira sp. ST-bin5	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Synechococcus sp. YX04-3	Cyanobacteria	Synechococcales	Synechococcaceae	Synechococcus	
Synechococcus sp. XM-24	Cyanobacteria	Synechococcales	Synechococcaceae	Synechococcus	
Parvularcula sp.	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula
Rhodovarius sp. CCP-6	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodovarius
Sphingomonas sp. CCP-7	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Campylobacter sp. P255	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Flavobacterium sp. AJR	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Magnetospirillum sp. 15-1	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum
Dyadobacter luticola	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter
Pelagibaca sp.	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagibaca
Thalassobius sp.	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius
Pseudohongiella sp.	Proteobacteria	Gammaproteobacteria	Pseudohongiella		
Rothia sp. Olga	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
Bacillus sp. OG2	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Corynebacterium kefirresidentii	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Streptococcus sp. KR	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Myxococcales bacterium FL481	Proteobacteria	Deltaproteobacteria	Myxococcales		
Psychromonas sp. CD1	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas
Oricola sp.	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Oricola
Wenzhouxiangella sp.	Proteobacteria	Gammaproteobacteria	Chromatiales	Wenzhouxiangellaceae	Wenzhouxiangella
Pusillimonas sp.	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas
Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
Cellulosimicrobium sp. TH-20	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium
Ignatzschineria sp. F8392	Proteobacteria	Gammaproteobacteria	Ignatzschineria		
Wohlfahrtiimonas sp. G9077	Proteobacteria	Gammaproteobacteria	Wohlfahrtiimonas		
Woeseia sp.	Proteobacteria	Gammaproteobacteria	Chromatiales	Woeseiaceae	Woeseia
Paenibacillus sp. Cedars	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Roseomonas rosea	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
Pseudanabaena sp. SR411	Cyanobacteria	Synechococcales	Pseudanabaenaceae	Pseudanabaena	
candidate division NPL-UPA2 bacterium Unc8					
Sutterella sp.	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
unicellular cyanobacterium SU2	Cyanobacteria				
Leuconostoc litchii	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc
Azoarcus sp. CIB	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus
Sandarakinorhabdus cyanobacteriorum	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sandarakinorhabdus
Niveispirillum lacus	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Niveispirillum
Cellulosimicrobium sp. KWT-B	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium
Francisella endosymbiont of Ornithodoros moubata	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	
Rhizobium sp. NXC14	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium
Pseudomonas sp. M30-35	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Paenibacillus barcinonensis	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
Janthinobacterium sp. GW460W	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Janthinobacterium sp. GW460P	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Janthinobacterium sp. GW458P	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Janthinobacterium sp. GW456W	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Janthinobacterium sp. GW456P	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
Monoglobus pectinilyticus	Firmicutes	Clostridia	Clostridiales	Monoglobus	
Phytoactinopolyspora sp. YIM 96934	Actinobacteria	Actinobacteria	Jiangellales	Jiangellaceae	Phytoactinopolyspora
Pseudomonas profundi	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R9(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R5(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R4(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R47(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R45(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R44(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R43(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R41(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R40(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R39(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R38(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R37(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R36(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R35(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R34(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R33(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R32(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R31(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R29(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R28(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R27(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R26(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R25(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R24(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R23(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R22(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R21(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R20(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R19(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R17(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R16(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R15(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R14(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R12(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R11(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. R10(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B9(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B8(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B7(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B6(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B5(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B4(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B40(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B3(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B39(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B38(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B37(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B36(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B35(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B34(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B33(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B32(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B31(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B30(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B2(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B29(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B28(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B27(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B26(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B25(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B24(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B23(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B22(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B21(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B20(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B1(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B19(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B18(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B17(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B16(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B15(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B14(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B13(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B12(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B11(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B10(2017)	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Denitratisoma sp. DHT3	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Denitratisoma
Roseovarius salinarum	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius
Aerococcus sp. 1KP-2016	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Citrobacter sp. L55	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter
Bacillus sp. MB353a	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Altererythrobacter mangrovi	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
Mangrovitalea sediminis	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Mangrovitalea
Zhengella mangrovi	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Zhengella
Colwellia echini	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
Arthrospira sp. O9.13F	Cyanobacteria	Oscillatoriales	Microcoleaceae	Arthrospira	
Vibrio sp. V02_P2A34T13	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
Opitutae bacterium AMD-G1	Verrucomicrobia	Opitutae			
Opitutae bacterium AMD-G3	Verrucomicrobia	Opitutae			
Opitutae bacterium Tous-C10FEB	Verrucomicrobia	Opitutae			
Opitutae bacterium Tous-C1TDCM	Verrucomicrobia	Opitutae			
Opitutae bacterium Tous-C2FEB	Verrucomicrobia	Opitutae			
Opitutae bacterium Tous-C4FEB	Verrucomicrobia	Opitutae			
Opitutae bacterium Tous-C5TDCM	Verrucomicrobia	Opitutae			
Opitutae bacterium Tous-C8FEB	Verrucomicrobia	Opitutae			
Pedosphaera sp. Tous-C6FEB	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobia subdivision 3	Pedosphaera
Spartobacteria bacterium AMD-G4	Verrucomicrobia	Spartobacteria			
Spartobacteria bacterium AMD-G5	Verrucomicrobia	Spartobacteria			
Spartobacteria bacterium Tous-C9RFEB	Verrucomicrobia	Spartobacteria			
Verrucomicrobiae bacterium AMD-G2	Verrucomicrobia	Verrucomicrobiae			
Verrucomicrobiae bacterium Tous-C2TDCM	Verrucomicrobia	Verrucomicrobiae			
Verrucomicrobiae bacterium Tous-C3TDCM	Verrucomicrobia	Verrucomicrobiae			
Verrucomicrobiae bacterium Tous-C5FEB	Verrucomicrobia	Verrucomicrobiae			
Verrucomicrobiae bacterium Tous-C4TDCM	Verrucomicrobia	Verrucomicrobiae			
Verrucomicrobia bacterium Tous-C9LFEB	Verrucomicrobia				
Candidatus Pelagibacter ubique HTCC1062	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter
unicellular cyanobacterium SU3	Cyanobacteria				
Robiginitalea sediminis	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Robiginitalea
Marinospirillum perlucidum	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinospirillum
Faecalibacillus intestinalis	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibacillus
Faecalibacillus faecis	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalibacillus
Advenella sp. S44	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella
Psychrobacter sp. L7	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Psychroflexus sp. S27	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus
Streptomyces sp. CS113	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces sp. CS159	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces sp. CS227	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces sp. CS057	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Hyella patelloides LEGE 07179	Cyanobacteria	Pleurocapsales	Hyellaceae	Hyella	
Porphyrobacter sanguineus	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Porphyrobacter
Bacillus sp. P14.5	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Bordetella genomosp. 2	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella
Bacillus lacus	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Sphingobium sp. LB126	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
Streptomyces sp. FM008	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Streptomyces sp. SM13	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Aeromonas sp. A35_P	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Candidatus Phytoplasma phoenicium	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma
Anoxybacillus gonensis	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus
Psychrobacter fozii	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
Streptomyces sp. CLI2509	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Macrococcus hajekii	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus
Macrococcus brunensis	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus
Macrococcus lamae	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus
Bifidobacterium vansinderenii	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Nitrospira sp. CG24E	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Nitrospira sp. CG24D	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Nitrospira sp. CG24C	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Nitrospira sp. CG24B	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Nitrospira sp. CG24A	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
Hydrogenophaga sp. IBVHS1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Hydrogenophaga sp. IBVHS2	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Sphingomonas sp. IBVSS2	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Chitinophagaceae bacterium IBVUCB1	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	
Chitinophagaceae bacterium IBVUCB2	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	
Xanthomonas phaseoli pv. phaseoli	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas
Amaricoccus sp. HAR-UPW-R2A-40	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus
Microbacterium sp. SLBN-154	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
Pseudomonas sp. HAR-UPW-AIA-41	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. 1239	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Trichococcus sp.	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus
Sulfuriferula sp. AH1	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sulfuriferula
Acinetobacter sp. ACNIH3	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Acinetobacter sp. ACNIH4	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
